gbif,tank,genus_jw,se_jw,gswitch,bothtpl,suspect,remove,keep.manual
Thymus inodarus,Thymus inodorus,1,0.95,False,TRUE,TRUE,TRUE,
Allium karistanum,Allium karsianum,1,0.9507407407,False,TRUE,TRUE,TRUE,
Astragalus tricholobus,Astragalus trichopodus,1,0.9515151515,False,TRUE,TRUE,TRUE,
Carex curviculmis,Carex curvicollis,1,0.9515151515,False,TRUE,TRUE,TRUE,
Ficus meiocarpa,Ficus melinocarpa,1,0.9515151515,False,TRUE,TRUE,TRUE,
Syzygium tetrapleurum,Syzygium tetrapterum,1,0.9523232323,False,TRUE,TRUE,TRUE,
Artemisia rigida,Artemisia frigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Banksia serra,Banksia serrata,1,0.9523809524,False,TRUE,TRUE,TRUE,
Calamagrostis fuscata,Calamagrostis fusca,1,0.9523809524,False,TRUE,TRUE,TRUE,
Carex grossii,Carex rossii,1,0.9523809524,False,TRUE,TRUE,TRUE,
Carex acutata,Carex acuta,1,0.9523809524,False,TRUE,TRUE,TRUE,
Cupania rigida,Cupania frigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Daphne odora,Daphne odorata,1,0.9523809524,False,TRUE,TRUE,TRUE,
Draba rigida,Draba frigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Eragrostis brownii,Eragrostis brownei,1,0.9523809524,False,TRUE,TRUE,TRUE,
Erica frigida,Erica rigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Festuca frigida,Festuca rigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Festuca pindica,Festuca indica,1,0.9523809524,False,TRUE,TRUE,TRUE,
Gentiana serra,Gentiana serrata,1,0.9523809524,False,TRUE,TRUE,TRUE,
Gentiana vernayi,Gentiana verna,1,0.9523809524,False,TRUE,TRUE,TRUE,
Hieracium greenei,Hieracium greenii,1,0.9523809524,False,TRUE,TRUE,TRUE,
Iris fulvala,Iris fulva,1,0.9523809524,False,TRUE,TRUE,TRUE,
Panicum lineale,Panicum lineare,1,0.9523809524,False,TRUE,TRUE,TRUE,
Podocarpus celatus,Podocarpus elatus,1,0.9523809524,False,TRUE,TRUE,TRUE,
Potentilla rigida,Potentilla frigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Primula rigida,Primula frigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Salvia frigida,Salvia rigida,1,0.9523809524,False,TRUE,TRUE,TRUE,
Saussurea leucoma,Saussurea leucota,1,0.9523809524,False,TRUE,TRUE,TRUE,
Valeriana spicata,Valeriana spica,1,0.9523809524,False,TRUE,TRUE,TRUE,
Carex brevicuspis,Carex breviculmis,1,0.9525252525,False,TRUE,TRUE,TRUE,
Hieracium perscitum,Hieracium persicum,1,0.9527777778,False,TRUE,TRUE,TRUE,
Sisyrinchium exalatum,Sisyrinchium exaltatum,1,0.9527777778,False,TRUE,TRUE,TRUE,
Stipa ucrainica,Stipa ucranica,1,0.9527777778,False,TRUE,TRUE,TRUE,
Calyptranthes capitulata,Calyptranthes capitellata,1,0.953030303,False,TRUE,TRUE,TRUE,
Chlorophytum macrosporum,Chlorophytum macropodum,1,0.953030303,False,TRUE,TRUE,TRUE,
Ficus pachyneura,Ficus pachypleura,1,0.953030303,False,TRUE,TRUE,TRUE,
Potentilla macrosepala,Potentilla macropetala,1,0.953030303,False,TRUE,TRUE,TRUE,
Sempervivum cantabricum,Sempervivum cantalicum,1,0.953030303,False,TRUE,TRUE,TRUE,
Silene longisepala,Silene longipetala,1,0.953030303,False,TRUE,TRUE,TRUE,
Annona cordifolia,Annona cornifolia,1,0.9533333333,False,TRUE,TRUE,TRUE,
Arabis saxicola,Arabis saxeticola,1,0.9533333333,False,TRUE,TRUE,TRUE,
Begonia parcifolia,Begonia parvifolia,1,0.9533333333,False,TRUE,TRUE,TRUE,
Carex nemurensis,Carex nemorensis,1,0.9533333333,False,TRUE,TRUE,TRUE,
Cleome guianensis,Cleome guineensis,1,0.9533333333,False,TRUE,TRUE,TRUE,
Cordia guineensis,Cordia guianensis,1,0.9533333333,False,TRUE,TRUE,TRUE,
Excoecaria guineensis,Excoecaria guianensis,1,0.9533333333,False,TRUE,TRUE,TRUE,
Festuca parciflora,Festuca parviflora,1,0.9533333333,False,TRUE,TRUE,TRUE,
Goodyera nankoensis,Goodyera nantoensis,1,0.9533333333,False,TRUE,TRUE,TRUE,
